,calle,num,localidad,prov,cp,par,letra,bestmatch_difflib,bestmatch_fuzzywuzzy,cpa
473,ramos mejia,,Clodomira,Santiago del Estero,4338,False,G,pasaje marcos victoria,,"['G4338XAP' 'G4338XAQ' 'G4338XAD' 'G4338XAE' 'G4338XAF' 'G4338XAG'
 'G4338XAJ' 'G4338XAL' 'G4338XAN' 'G4338XAS' 'G4338DTA' 'G4338AAA'
 'G4338AAN' 'G4338AAB' 'G4338AAO' 'G4338AAC' 'G4338AAP' 'G4338AAD'
 'G4338AAQ' 'G4338AAE' 'G4338AAR' 'G4338AAF' 'G4338AAS' 'G4338AAG'
 'G4338AAT' 'G4338AAH' 'G4338AAU' 'G4338AAI' 'G4338AAV' 'G4338DOA'
 'G4338ABA' 'G4338ABB' 'G4338ABC' 'G4338ABD' 'G4338ABE' 'G4338ABF'
 'G4338ABG' 'G4338ABH' 'G4338ABI' 'G4338ABJ' 'G4338ABK' 'G4338ABL'
 'G4338BRA' 'G4338ACA' 'G4338ACB' 'G4338ACC' 'G4338ACD' 'G4338ADA'
 'G4338ADN' 'G4338ADB' 'G4338ADO' 'G4338ADC' 'G4338ADP' 'G4338ADD'
 'G4338ADQ' 'G4338ADE' 'G4338ADR' 'G4338ADF' 'G4338ADS' 'G4338ADG'
 'G4338ADT' 'G4338ADH' 'G4338ADU' 'G4338ADI' 'G4338ADV' 'G4338ADJ'
 'G4338ADW' 'G4338ADK' 'G4338ADX' 'G4338ADL' 'G4338ADY' 'G4338ADM'
 'G4338ADZ' 'G4338AEA' 'G4338AEN' 'G4338AEB' 'G4338AEO' 'G4338AEC'
 'G4338AEP' 'G4338BBA' 'G4338ASA' 'G4338DAA' 'G4338AFA' 'G4338AFB'
 'G4338AFC' 'G4338AFD' 'G4338AFE' 'G4338AFF' 'G4338AGA' 'G4338AGB'
 'G4338AGC' 'G4338AGD' 'G4338AGE' 'G4338AGF' 'G4338CMA' 'G4338CMB'
 'G4338CMC' 'G4338CMD' 'G4338CME' 'G4338CMF' 'G4338CMG' 'G4338CMH'
 'G4338CMI' 'G4338CMJ' 'G4338CMK' 'G4338CML' 'G4338CMM' 'G4338CMN'
 'G4338CMO' 'G4338CMP' 'G4338CMQ' 'G4338CMR' 'G4338BUA' 'G4338AVA'
 'G4338DFA' 'G4338ALA' 'G4338ALB' 'G4338ALC' 'G4338ALD' 'G4338ALE'
 'G4338ALF' 'G4338ALG' 'G4338ALH' 'G4338ALI' 'G4338ALJ' 'G4338CUA'
 'G4338CVA' 'G4338BFA' 'G4338BGA' 'G4338BHA' 'G4338BJA' 'G4338BKA'
 'G4338BLA' 'G4338BMA' 'G4338BNA' 'G4338BOA' 'G4338CDA' 'G4338CDB'
 'G4338CDC' 'G4338CDD' 'G4338CDE' 'G4338CDF' 'G4338CDG' 'G4338CDH'
 'G4338CDI' 'G4338CDJ' 'G4338CDK' 'G4338CDL' 'G4338CDM' 'G4338CDN'
 'G4338AYA' 'G4338DDA' 'G4338BYA' 'G4338BYB' 'G4338BZA' 'G4338BZB'
 'G4338BZC' 'G4338BZD' 'G4338BZE' 'G4338BZF' 'G4338BZG' 'G4338BZH'
 'G4338BZI' 'G4338BZJ' 'G4338BZK' 'G4338BZL' 'G4338BZM' 'G4338BZN'
 'G4338DSA' 'G4338CIA' 'G4338CIB' 'G4338CIC' 'G4338CID' 'G4338CIE'
 'G4338CIF' 'G4338AHA' 'G4338AHN' 'G4338AHB' 'G4338AHO' 'G4338AHC'
 'G4338AHP' 'G4338AHD' 'G4338AHQ' 'G4338AHE' 'G4338AHR' 'G4338BAA'
 'G4338DGA' 'G4338CLA' 'G4338CLB' 'G4338CLC' 'G4338CLD' 'G4338CLE'
 'G4338CLF' 'G4338CLG' 'G4338CLH' 'G4338CNA' 'G4338CNB' 'G4338CNC'
 'G4338CND' 'G4338CNE' 'G4338CNF' 'G4338CEA' 'G4338CEB' 'G4338CEC'
 'G4338CED' 'G4338CEE' 'G4338CEF' 'G4338CEG' 'G4338CEH' 'G4338DBA'
 'G4338CRA' 'G4338CRB' 'G4338CRC' 'G4338CRD' 'G4338CRE' 'G4338CRF'
 'G4338BIA' 'G4338DPA' 'G4338CAA' 'G4338CAN' 'G4338CAB' 'G4338CAO'
 'G4338CAC' 'G4338CAP' 'G4338CAD' 'G4338CAQ' 'G4338CAE' 'G4338CAR'
 'G4338DNA' 'G4338CBA' 'G4338CBB' 'G4338CBC' 'G4338CBD' 'G4338CBE'
 'G4338CBF' 'G4338CBG' 'G4338CBH' 'G4338CBI' 'G4338CBJ' 'G4338CBK'
 'G4338CBL' 'G4338CBM' 'G4338CBN' 'G4338CBO' 'G4338CBP' 'G4338CBQ'
 'G4338CBR' 'G4338CBS' 'G4338CBT' 'G4338CBU' 'G4338CBV' 'G4338DRA'
 'G4338CCA' 'G4338CCB' 'G4338CCC' 'G4338CCD' 'G4338CCE' 'G4338CCF'
 'G4338CCG' 'G4338CCH' 'G4338BTA' 'G4338BVA' 'G4338BVB' 'G4338BVC'
 'G4338BVD' 'G4338DKA' 'G4338CGA' 'G4338CGB' 'G4338CGC' 'G4338CGD'
 'G4338CGE' 'G4338CGF' 'G4338CGG' 'G4338CGH' 'G4338CGI' 'G4338CGJ'
 'G4338CGK' 'G4338CGL' 'G4338AWA' 'G4338AXA' 'G4338AJA' 'G4338AJB'
 'G4338AJC' 'G4338AJD' 'G4338AJE' 'G4338AJF' 'G4338AJG' 'G4338AJH'
 'G4338AJI' 'G4338AJJ' 'G4338AJK' 'G4338AJL' 'G4338AJM' 'G4338AJN'
 'G4338AIA' 'G4338AIN' 'G4338AIB' 'G4338AIO' 'G4338AIC' 'G4338AIP'
 'G4338AID' 'G4338AIQ' 'G4338AIE' 'G4338AIR' 'G4338AIF' 'G4338AIS'
 'G4338AIG' 'G4338AIT' 'G4338DCA' 'G4338CFA' 'G4338CFB' 'G4338CFC'
 'G4338CFD' 'G4338CFE' 'G4338CFF' 'G4338BWA' 'G4338BWB' 'G4338BWC'
 'G4338BWD' 'G4338BWE' 'G4338BWF' 'G4338CTA' 'G4338CTB' 'G4338CTC'
 'G4338CTD' 'G4338CTE' 'G4338CTF' 'G4338CTG' 'G4338CTH' 'G4338CTI'
 'G4338CTJ' 'G4338CTK' 'G4338CTL' 'G4338CTM' 'G4338CTN' 'G4338CTO'
 'G4338CTP' 'G4338CTQ' 'G4338CTR' 'G4338CTS' 'G4338CTT' 'G4338CTU'
 'G4338CTV' 'G4338CTW' 'G4338CTX' 'G4338AKC' 'G4338AKD' 'G4338AKE'
 'G4338AKF' 'G4338AKG' 'G4338AKH' 'G4338AKI' 'G4338AKJ' 'G4338AKK'
 'G4338AKL' 'G4338AKM' 'G4338AKN' 'G4338AKO' 'G4338AKP' 'G4338AKQ'
 'G4338AKR' 'G4338AKS' 'G4338AKT' 'G4338CZA' 'G4338CHA' 'G4338CHB'
 'G4338CHC' 'G4338CHD' 'G4338CHE' 'G4338CHF' 'G4338CHG' 'G4338CHH'
 'G4338CHI' 'G4338CHJ' 'G4338CHK' 'G4338CHL' 'G4338CHM' 'G4338CHN'
 'G4338CHO' 'G4338CHP' 'G4338CQA' 'G4338CQB' 'G4338BEA' 'G4338ATA'
 'G4338APA' 'G4338CJA' 'G4338CJB' 'G4338CJC' 'G4338CJD' 'G4338CJE'
 'G4338CJF' 'G4338CJG' 'G4338CJH' 'G4338CJI' 'G4338CJJ' 'G4338CJK'
 'G4338CJL' 'G4338CJM' 'G4338CJN' 'G4338AUA' 'G4338CKA' 'G4338CKB'
 'G4338CKC' 'G4338CKD' 'G4338CKE' 'G4338CKF' 'G4338CKG' 'G4338CKH'
 'G4338CKI' 'G4338CKJ' 'G4338CPC' 'G4338ARA' 'G4338BSA' 'G4338CWA'
 'G4338CWB' 'G4338CWC' 'G4338CWD' 'G4338CWE' 'G4338CWF' 'G4338CWG'
 'G4338CWH' 'G4338CWI' 'G4338CWJ' 'G4338CWK' 'G4338CWL' 'G4338CWM'
 'G4338CWN' 'G4338BQA' 'G4338DMA' 'G4338CZC' 'G4338CZD' 'G4338CZE'
 'G4338CZF' 'G4338CZG' 'G4338CZH' 'G4338CZI' 'G4338CZJ' 'G4338CZK'
 'G4338CZL' 'G4338CZM' 'G4338CZN' 'G4338CZO' 'G4338CZP' 'G4338CZQ'
 'G4338CZR' 'G4338CZS' 'G4338CZT' 'G4338DQA' 'G4338CSA' 'G4338CSB'
 'G4338CSC' 'G4338CSD' 'G4338CSE' 'G4338CSF' 'G4338BPA' 'G4338AMA'
 'G4338AQA' 'G4338DIA' 'G4338DJA' 'G4338DLA' 'G4338DUA' 'G4338DIA'
 'G4338DJA' 'G4338DLA' 'G4338DUA' 'G4338DIA' 'G4338DJA' 'G4338DLA'
 'G4338DUA' 'G4338DIA' 'G4338DJA' 'G4338DLA' 'G4338DUA' 'G4338BDA'
 'G4338AOA' 'G4338BCA' 'G4338AZA' 'G4338ANA' 'G4338DEA' 'G4338CXA'
 'G4338CXB' 'G4338DHA' 'G4338COA' 'G4338COB' 'G4338COC' 'G4338COD'
 'G4338COE' 'G4338COF' 'G4338COI' 'G4338COJ' 'G4338COK' 'G4338COL'
 'G4338CYA' 'G4338CYB' 'G4338CYC' 'G4338CYD' 'G4338CYE' 'G4338CYF'
 'G4338CYG' 'G4338CYH' 'G4338CYI' 'G4338CYJ' 'G4338BXA']"
474,armenia,2265.0,Comuna 14,Buenos Aires,1425,False,C,calle armenia,calle armenia,['C1425FBE']
475,humaita,1527.0,Tapiales,Provincia de Buenos Aires,1770,False,B,calle humaita,calle humaita,['B1770ANM']
476,avenida barcelo,984.0,Salazar,Provincia de Buenos Aires,6471,True,B,avenida dr adolfo barcelo,avenida dr adolfo barcelo,['B6471AGS']
477,san jose de calasanz,62.0,LHB,Córdoba,5000,True,X,calle san jose de calasanz,calle san jose de calasanz,['X5000LHB']
478,ituzaingo,478.0,Malvinas Argentinas,Provincia de Buenos Aires,1846,True,B,calle ituzaingo,calle ituzaingo,['B1851DEJ']
479,12 de febrero,640.0,Merlo,Buenos Aires,1721,True,C,,,['B1721BQA' 'B1721BQB' 'B1721BQC' ... 'B1721AGB' 'B1721AGC' 'B1721AGD']
480,juan pablo ii,,Colón,Córdoba,5000,False,X,calle pablo astini,calle pablo astini,['X5008KVA' 'X5008KVB' 'X5008KVC' ... 'X5012LNH' 'X5012LNI' 'X5012LNJ']
481,ida kaplun de garcia,2274.0,Río Gallegos,Santa Cruz,9400,True,Z,calle ida kaplun de garcia,calle ida kaplun de garcia,['Z9403GJH']
482,miramar,169.0,Ingeniero Budge,Provincia de Buenos Aires,1832,False,B,calle madrid,,['B1832EXA' 'B1832EXN' 'B1832EXB' ... 'B1832AGB' 'B1832AGC' 'B1832AGD']
483,doctor h. leguizamon,1279.0,Pilar,Provincia de Buenos Aires,1630,False,B,,,['B1630AZA' 'B1630AZB' 'B1630AZC' ... 'B1630CVL' 'B1630CVM' 'B1630CVN']
484,contraalmte. martin guerrico,5416.0,Comuna 8,Buenos Aires,1439,True,C,calle martin guerrico,calle martin guerrico,['C1439DTB']
485,merlo,1327.0,Castelar,Provincia de Buenos Aires,1712,False,B,calle merlo,calle merlo,['B1712LNA']
486,santa fe,103.0,General Rodríguez,Provincia de Buenos Aires,1748,False,B,calle santa rosa,calle salta,"['B6405BSC' 'B7513DDC' 'B1864EYC' 'B6237BZC' 'B2740BPC' 'B6003BQC'
 'B7300BIC' 'B8000HYC' 'B1661KMC' 'B1621ATC' 'B1884DMC' 'B6065ATC'
 'B6640CTC' 'B2804COA' 'B2752EBA' 'B6530BWC' 'B7114CCC' 'B6740BSC'
 'B7130FCC' 'B6620LLC' 'B7613BEC' 'B7540GZC' 'B8183CGC' 'B7100ETC'
 'B7249ASC' 'B1804BYC' 'B1882DHC' 'B6027BJC' 'B6472AXC' 'B1619ILA'
 'B2907AYC' 'B1617BQC' 'B6230GQC' 'B1823DYA' 'B1823DYA' 'B6002GKC'
 'B7113AOA' 'B1745CGC' 'B1832EKC' 'B1752CMC' 'B7160BXC' 'B7109FIC'
 'B7600DEC' 'B1727CMC' 'B1809BCC' 'B6602ILE' 'B1722EXC' 'B1842CTC'
 'B8153BTC' 'B1708JOC' 'B6708CHC' 'B6077BBC' 'B2700ANC' 'B8109IAC'
 'B7631HKA' 'B2915CBC' 'B8174BHC' 'B6339CHC' 'B2741BKC' 'B2930AGC'
 'B1872BKC' 'B8508BFC' 'B6612BRC' 'B1834KUC' 'B1648AMC' 'B6400BPC'
 'B7500FFC' 'B2761BEC']"
487,gustavo adolfo becquer,1898.0,La Reja,Provincia de Buenos Aires,1738,True,B,,,['B1738IFA' 'B1738IFB' 'B1738IFC' ... 'B1738CMB' 'B1738FRA' 'B1738FRB']
488,san pedro,309.0,La Tablada,Provincia de Buenos Aires,1766,False,B,,,['B2701XAA' 'B7313XAA' 'B2705XAB' ... 'B2805VAA' 'B2805VAE' 'B2805VAD']
489,san martin ,1150.0,Las Tunas ,Santa Fe,3009,True,S,calle gral san martin,calle gral san martin,['S3009BDB']
490,arenales,3644.0,Comuna 14,Buenos Aires,1425,True,C,calle arenales,calle arenales,['C1425BEX']
491,tupungato,197.0,Villa Carlos Paz,Córdoba,5152,False,X,calle tupungato,calle tupungato,['X5152FMC']
492,teniente general pablo ricchieri,4450.0,Ciudadela,Provincia de Buenos Aires,1702,True,B,calle tte gral pablo ricchieri,calle tte gral pablo ricchieri,['B1702BMF']
493,tronador,579.0,Neuquén,Neuquén,8300,False,Q,calle tronador,calle tronador,['Q8300ENC']
494,juan manuel estrada,2200.0,Guaymallén,Mendoza,5521,True,M,,,['M5521XAA']
495,conesa,1841.0,Comuna 13,Buenos Aires,1428,False,C,calle minones,,['C1428AIA' 'C1428AIB' 'C1428AIC' ... 'C1428ADR' 'C1428ADS' 'C1428ADT']
496,solis,4630.0,Mar del Plata,Provincia de Buenos Aires,7603,True,B,,,['B7603XAH' 'B7603XAA' 'B7603XAB' ... 'B7603EPP' 'B7603EPQ' 'B7603EPR']
497,malvinas argentinas,402.0,Comuna 6,Buenos Aires,1406,True,C,calle malvinas argentinas,calle malvinas argentinas,['C1406CXJ']
498,talcahuano,1424.0,Comuna 1,Buenos Aires,1013,True,C,calle talcahuano,calle talcahuano,"['C1013AAA' 'C1013AAB' 'C1013AAC' 'C1013AAD' 'C1013AAE' 'C1013AAF'
 'C1013AAG' 'C1013AAH' 'C1013AAI' 'C1013AAJ' 'C1013AAK' 'C1013AAL'
 'C1013AAM' 'C1013AAN' 'C1013AAO' 'C1013AAP' 'C1013AAQ' 'C1013AAR'
 'C1013AAS' 'C1013AAT' 'C1013AAU' 'C1013AAV' 'C1013AAW' 'C1013AAX']"
499,general capdevila,550.0,Banfield,Provincia de Buenos Aires,1828,True,B,calle gral capdevila,calle gral capdevila,['B1828ARF']
500,libertad,4246.0,San Andres,Provincia de Buenos Aires,1651,True,B,,,['B2701XAA' 'B7313XAA' 'B2705XAB' ... 'B2805VAA' 'B2805VAE' 'B2805VAD']
501,calle 987,5244.0,San Francisco solano,Buenos Aires,1881,True,C,calle 898,calle 827,['B1881EKA' 'B1881EKB' 'B1881EKC' ... 'B1855BCH' 'B1855BCI' 'B1855BCJ']
502,gobernador general ramon balcarce,1046.0,Lanús,Provincia de Buenos Aires,1822,True,B,calle gdor gral juan r balcarce,calle gdor gral juan r balcarce,['B1822DKC' 'B1822DKD' 'B1822BUE' ... 'B1822DYJ' 'B1822DYK' 'B1822DYL']
503,florida,1525.0,San Miguel de Tucumán,Tucumán,4000,False,T,calle comb de la florida,,['T4000XAG' 'T4000XAE' 'T4000XAB' ... 'T4001BWN' 'T4001BWO' 'T4001BWP']
504,moreno,3523.0,ABO,Buenos Aires,1209,False,C,calle dr mariano moreno,,"['C1209AAA' 'C1209AAN' 'C1209AAB' 'C1209AAO' 'C1209AAC' 'C1209AAP'
 'C1209AAD' 'C1209AAQ' 'C1209AAA' 'C1209AAN' 'C1209AAB' 'C1209AAO'
 'C1209AAC' 'C1209AAP' 'C1209AAD' 'C1209AAQ' 'C1209ABA' 'C1209ABB'
 'C1209ABC' 'C1209ABD' 'C1209ABE' 'C1209ABF' 'C1209ABG' 'C1209ABH'
 'C1209ABI' 'C1209ABJ' 'C1209ABK' 'C1209ABL' 'C1209ABM' 'C1209ABN'
 'C1209ABO' 'C1209ABP' 'C1209ABQ' 'C1209ABR']"
505,25 de mayo,541.0,General Fernandez Oro,Río Negro,8325,False,R,calle 16 de marzo,,"['R8325CAA' 'R8325AAA' 'R8325AAB' 'R8325AAC' 'R8325AAD' 'R8325AAE'
 'R8325AAF' 'R8325AAG' 'R8325AAH' 'R8325AAI' 'R8325AAJ' 'R8325AAK'
 'R8325AAL' 'R8325ABA' 'R8325ABB' 'R8325ABC' 'R8325ABD' 'R8325ABE'
 'R8325ABF' 'R8325ABG' 'R8325ABH' 'R8325ABI' 'R8325ABJ' 'R8325ABK'
 'R8325ABL' 'R8325AFA' 'R8325AFB' 'R8325AFC' 'R8325AFD' 'R8325AFE'
 'R8325AFF' 'R8325AFG' 'R8325AFH' 'R8325AFI' 'R8325AFJ' 'R8325AFK'
 'R8325AFL' 'R8325ACA' 'R8325ACB' 'R8325ACC' 'R8325ACD' 'R8325ACE'
 'R8325ACF' 'R8325ACG' 'R8325ACH' 'R8325ACI' 'R8325ACJ' 'R8325ACK'
 'R8325ACL' 'R8325BDA' 'R8325BDB' 'R8325AGA' 'R8325AGB' 'R8325AGC'
 'R8325AGD' 'R8325AGE' 'R8325AGF' 'R8325AGG' 'R8325AGH' 'R8325AGI'
 'R8325AGJ' 'R8325AGK' 'R8325AGL' 'R8325AGM' 'R8325AGN' 'R8325AGO'
 'R8325AGP' 'R8325BXA' 'R8325BCA' 'R8325BCB' 'R8325BCC' 'R8325BCD'
 'R8325BCE' 'R8325BCF' 'R8325BCG' 'R8325BCH' 'R8325BCI' 'R8325BCJ'
 'R8325AHA' 'R8325AHB' 'R8325AHC' 'R8325AHD' 'R8325AHE' 'R8325AHF'
 'R8325AHG' 'R8325AHH' 'R8325AHI' 'R8325AHJ' 'R8325AIA' 'R8325AIB'
 'R8325AIC' 'R8325AID' 'R8325AIE' 'R8325AIF' 'R8325AIG' 'R8325AIH'
 'R8325AII' 'R8325AIJ' 'R8325AIK' 'R8325AIL' 'R8325AIM' 'R8325AIN'
 'R8325AIO' 'R8325AIP' 'R8325AIQ' 'R8325AIR' 'R8325BQA' 'R8325BQB'
 'R8325BQC' 'R8325BQD' 'R8325BQE' 'R8325BQF' 'R8325BQG' 'R8325BQH'
 'R8325BQI' 'R8325BQJ' 'R8325BQK' 'R8325BQL' 'R8325BQM' 'R8325BQN'
 'R8325BQO' 'R8325BQP' 'R8325BQQ' 'R8325BQR' 'R8325BQS' 'R8325BQT'
 'R8325BBA' 'R8325BBB' 'R8325BBC' 'R8325BBD' 'R8325BBE' 'R8325BBF'
 'R8325BBG' 'R8325BBH' 'R8325BBI' 'R8325BBJ' 'R8325BOA' 'R8325BOB'
 'R8325BOC' 'R8325BOD' 'R8325BOE' 'R8325BOF' 'R8325BOG' 'R8325BOH'
 'R8325BOI' 'R8325BOJ' 'R8325BRA' 'R8325BRB' 'R8325BEA' 'R8325BEB'
 'R8325BJA' 'R8325BJB' 'R8325BJC' 'R8325BJD' 'R8325BJE' 'R8325BJF'
 'R8325BJG' 'R8325BJH' 'R8325BJI' 'R8325BJJ' 'R8325BJK' 'R8325BJL'
 'R8325BAA' 'R8325BAB' 'R8325BPA' 'R8325BPB' 'R8325BPC' 'R8325BPD'
 'R8325BPE' 'R8325BPF' 'R8325BPG' 'R8325BPH' 'R8325BPI' 'R8325BPJ'
 'R8325BPK' 'R8325BPL' 'R8325BTA' 'R8325BTB' 'R8325BTC' 'R8325BTD'
 'R8325BTE' 'R8325BTF' 'R8325BTG' 'R8325BTH' 'R8325BTI' 'R8325BTJ'
 'R8325BTK' 'R8325BTL' 'R8325BTM' 'R8325BTN' 'R8325BTO' 'R8325BTP'
 'R8325BTQ' 'R8325BTR' 'R8325BTS' 'R8325BTT' 'R8325APA' 'R8325APB'
 'R8325APC' 'R8325APD' 'R8325APE' 'R8325APF' 'R8325APG' 'R8325APH'
 'R8325API' 'R8325APJ' 'R8325APK' 'R8325APL' 'R8325AJA' 'R8325AJN'
 'R8325AJB' 'R8325AJO' 'R8325AJC' 'R8325AJP' 'R8325AJD' 'R8325AJQ'
 'R8325AJE' 'R8325AJR' 'R8325AJF' 'R8325AJS' 'R8325AJG' 'R8325AJT'
 'R8325AJH' 'R8325AJU' 'R8325AJI' 'R8325AJV' 'R8325AJJ' 'R8325AJW'
 'R8325AJK' 'R8325AJX' 'R8325AJL' 'R8325AJY' 'R8325AJM' 'R8325AJZ'
 'R8325AKA' 'R8325AKN' 'R8325AKC' 'R8325AKP' 'R8325AQA' 'R8325AQB'
 'R8325AQC' 'R8325AQD' 'R8325AQE' 'R8325AQF' 'R8325AQG' 'R8325AQH'
 'R8325AQI' 'R8325AQJ' 'R8325AQK' 'R8325AQL' 'R8325AQM' 'R8325AQN'
 'R8325BIA' 'R8325BIB' 'R8325BIC' 'R8325BID' 'R8325BIE' 'R8325BIF'
 'R8325BIG' 'R8325BIH' 'R8325ARA' 'R8325ARB' 'R8325ARC' 'R8325ARD'
 'R8325ARE' 'R8325ARF' 'R8325ARG' 'R8325ARH' 'R8325ARI' 'R8325ARJ'
 'R8325ARK' 'R8325ARL' 'R8325ATA' 'R8325ATB' 'R8325ATC' 'R8325ATD'
 'R8325ATE' 'R8325ATF' 'R8325ATG' 'R8325ATH' 'R8325ATI' 'R8325ATJ'
 'R8325ATK' 'R8325ATL' 'R8325ATM' 'R8325ATN' 'R8325ATO' 'R8325ATP'
 'R8325ATQ' 'R8325ATR' 'R8325ATS' 'R8325ATT' 'R8325ASA' 'R8325ASB'
 'R8325ASC' 'R8325ASD' 'R8325ASE' 'R8325ASF' 'R8325ASG' 'R8325ASH'
 'R8325ASI' 'R8325ASJ' 'R8325AVA' 'R8325AVB' 'R8325AXA' 'R8325AXB'
 'R8325AXC' 'R8325AXD' 'R8325AXE' 'R8325AXF' 'R8325BYA' 'R8325AYA'
 'R8325AYB' 'R8325AYC' 'R8325AYD' 'R8325AYE' 'R8325AYF' 'R8325AYG'
 'R8325AYH' 'R8325AYI' 'R8325AYJ' 'R8325AYK' 'R8325AYL' 'R8325BWA'
 'R8325BWB' 'R8325BWC' 'R8325BWD' 'R8325BWE' 'R8325BWF' 'R8325BUA'
 'R8325BUB' 'R8325AZA' 'R8325AZB' 'R8325AZC' 'R8325AZD' 'R8325BVA'
 'R8325BVB' 'R8325BVC' 'R8325BVD' 'R8325BVE' 'R8325BVF' 'R8325BZA'
 'R8325AUA' 'R8325AUB' 'R8325AUC' 'R8325AUD' 'R8325AUE' 'R8325AUF'
 'R8325BFA' 'R8325BFB' 'R8325BLA' 'R8325BLB' 'R8325BLC' 'R8325BLD'
 'R8325BLE' 'R8325BLF' 'R8325BLG' 'R8325BLH' 'R8325BLI' 'R8325BLJ'
 'R8325BLK' 'R8325BLL' 'R8325AMA' 'R8325AMN' 'R8325AMB' 'R8325AMO'
 'R8325AMC' 'R8325AMP' 'R8325AMD' 'R8325AMQ' 'R8325AME' 'R8325AMR'
 'R8325AMF' 'R8325AMS' 'R8325AMG' 'R8325AMT' 'R8325AMH' 'R8325AMU'
 'R8325AMI' 'R8325AMV' 'R8325AMJ' 'R8325AMW' 'R8325AMK' 'R8325AMX'
 'R8325AML' 'R8325AMY' 'R8325AMM' 'R8325AMZ' 'R8325ANA' 'R8325ANN'
 'R8325ANC' 'R8325ANP' 'R8325AWA' 'R8325AWB' 'R8325AWC' 'R8325AWD'
 'R8325AWE' 'R8325AWF' 'R8325AWG' 'R8325AWH' 'R8325AWI' 'R8325AWJ'
 'R8325AWK' 'R8325AWL' 'R8325BGA' 'R8325BGB' 'R8325BGC' 'R8325BGD'
 'R8325BGE' 'R8325BGF' 'R8325BGG' 'R8325BGH' 'R8325BGI' 'R8325BGJ'
 'R8325BGK' 'R8325BGL' 'R8325BGM' 'R8325BGN' 'R8325BGO' 'R8325BGP'
 'R8325BGQ' 'R8325BGR' 'R8325BGS' 'R8325BGT' 'R8325BGU' 'R8325BGV'
 'R8325BGW' 'R8325BGX' 'R8325BGY' 'R8325BGZ' 'R8325BHA' 'R8325BHB'
 'R8325BHC' 'R8325BHD' 'R8325BHE' 'R8325BHF' 'R8325BHG' 'R8325BHH'
 'R8325BHI' 'R8325BHJ' 'R8325BHK' 'R8325BHL' 'R8325AOA' 'R8325AOB'
 'R8325AOC' 'R8325AOD' 'R8325AOE' 'R8325AOF' 'R8325AOG' 'R8325AOH'
 'R8325AOI' 'R8325AOJ' 'R8325AOK' 'R8325AOL' 'R8325BKA' 'R8325BKB'
 'R8325BKC' 'R8325BKD' 'R8325BKE' 'R8325BKF' 'R8325BKG' 'R8325BKH'
 'R8325BKI' 'R8325BKJ' 'R8325BKK' 'R8325BKL' 'R8325BMA' 'R8325BNA'
 'R8325ADA' 'R8325AEA' 'R8325ADA' 'R8325AEA' 'R8325ALA' 'R8325ALB'
 'R8325ALC' 'R8325ALD' 'R8325BSA' 'R8325BSB' 'R8325BSC' 'R8325BSD'
 'R8325BSE' 'R8325BSF' 'R8325BSG' 'R8325BSH' 'R8325BSI' 'R8325BSJ'
 'R8325BSK' 'R8325BSL' 'R8325BSM' 'R8325BSN' 'R8325BSO' 'R8325BSP'
 'R8325BSQ' 'R8325BSR']"
506,cuenca,778.0,Villa Lynch,Buenos Aires,1672,True,C,calle cuenca,calle cuenca,['B1672AHP']
